id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,id_card,client_id_card,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,acct_open_date,year_pin_last_changed,card_on_dark_web,id_user,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,credit_score,num_credit_cards,mcc_description,hour,day_of_week
7475327,2010-01-01 00:01:00,1556,2972,-77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,2972,1556,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,1,2,05/2008,2008,0,1556,30,67,1989,7,Female,594 Mountain View Street,46.8,-100.76,740,4,Miscellaneous Food Stores,0,4
7475328,2010-01-01 00:02:00,561,4575,14.57,Swipe Transaction,67570,Bettendorf,IA,52722.0,5311,4575,561,Mastercard,Credit,5175842699412235,12/2024,438,1,1,09/2005,2015,0,561,48,67,1971,6,Male,604 Pine Street,40.8,-91.12,834,5,Department Stores,0,4
7475329,2010-01-01 00:02:00,1129,102,80.0,Swipe Transaction,27092,Vista,CA,92084.0,4829,102,1129,Mastercard,Debit,5874992802287595,05/2020,256,1,1,01/2006,2008,0,1129,49,65,1970,4,Male,2379 Forest Lane,33.18,-117.29,686,3,Money Transfer,0,4
7475331,2010-01-01 00:05:00,430,2860,200.0,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,2860,430,Mastercard,Debit,5346827663529174,10/2024,54,0,2,05/2004,2006,0,430,52,67,1967,5,Female,903 Hill Boulevard,41.42,-87.35,685,5,Money Transfer,0,4
7475332,2010-01-01 00:06:00,848,3915,46.41,Swipe Transaction,13051,Harwood,MD,20776.0,5813,3915,848,Visa,Debit,4354185735186651,01/2020,120,1,1,07/2009,2014,0,848,51,69,1968,5,Male,166 River Drive,38.86,-76.6,711,2,Drinking Places (Alcoholic Beverages),0,4
7475333,2010-01-01 00:07:00,1807,165,4.81,Swipe Transaction,20519,Bronx,NY,10464.0,5942,165,1807,Mastercard,Debit (Prepaid),5207231566469664,03/2014,198,1,1,01/2008,2015,0,1807,47,65,1972,12,Female,14780 Plum Lane,40.84,-73.87,828,5,Book Stores,0,4
7475334,2010-01-01 00:09:00,1556,2972,77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,2972,1556,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,1,2,05/2008,2008,0,1556,30,67,1989,7,Female,594 Mountain View Street,46.8,-100.76,740,4,Miscellaneous Food Stores,0,4
7475335,2010-01-01 00:14:00,1684,2140,26.46,Online Transaction,39021,ONLINE,CA,46901.0,4784,2140,1684,Mastercard,Debit (Prepaid),5955075527372953,05/2021,513,1,1,03/2007,2012,0,1684,56,65,1963,11,Male,27019 Madison Lane,36.34,-83.28,782,5,Tolls and Bridge Fees,0,4
7475336,2010-01-01 00:21:00,335,5131,261.58,Online Transaction,50292,ONLINE,CA,46901.0,7801,5131,335,Visa,Debit,4414800408438414,06/2020,833,1,1,10/2008,2011,0,335,46,68,1973,7,Female,75 Birch Lane,26.74,-80.12,688,3,"Athletic Fields, Commercial Sports",0,4
7475337,2010-01-01 00:21:00,351,1112,10.74,Swipe Transaction,3864,Flushing,NY,11355.0,5813,1112,351,Mastercard,Debit (Prepaid),5348108239138924,11/2023,893,1,2,02/2007,2010,0,351,91,70,1928,9,Female,984 Little Creek Lane,40.77,-73.84,807,6,Drinking Places (Alcoholic Beverages),0,4
7475338,2010-01-01 00:23:00,554,3912,3.51,Swipe Transaction,67570,Pearland,TX,77581.0,5311,3912,554,Visa,Debit,4096589319918041,04/2021,856,0,1,07/2009,2009,0,554,59,67,1960,8,Male,6310 Sixth Street,29.66,-95.04,690,5,Department Stores,0,4
7475339,2010-01-01 00:23:00,605,5061,2.58,Swipe Transaction,75781,Brooklyn,NY,11210.0,5411,5061,605,Visa,Debit,4799699589870743,06/2021,178,1,2,10/2006,2011,0,605,42,73,1977,10,Male,663 Summit Boulevard,40.64,-73.94,725,3,"Grocery Stores, Supermarkets",0,4
